Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.1998697275086,8.80071752185604,9.196888260347,10.0699941212549,10.9116040745526,11.7344348455491,12.2029654391202,14.5576162878987,14.5818363060565,14.1789193737911,14.5430529448396,16.6134779097919,16.9302950898685,16.8815458389923,16.1278038080551,15.8235824504332,15.9236559656703,15.4202070236206,14.8562349775318,15.026434394062,15.3352430921872,14.5879421234131,14.8979708918235,14.8009414284672,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.26070371159632,2.96336035444228,9.64767881796754,21.2659927029937,28.2843244170004,30.4291859349008,34.9424744828948,38.731805043457,40.7186844476692,41.1015858477132,42.0198484037869,42.8112728380428,42.9262445746368,44.5905976561474,44.8973988982454,45.5273577966321,44.4124917214002,44.6246428337388,44.5611870338898,44.3394459240415,44.20371259135,43.857779579512,43.6552268058138,44.1136707316633,42.8939738742452,42.6944194050643,42.3866840518861,42.256141915037,42.303743875366,40.5510809940788,40.2104093208646,41.1653761273616,39.7985458192303,40.5889030885301,39.679987740951
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.12681665642479,4.65138657296439,5.54489484246809,6.15447384095472,7.77797484302619,9.79531244458789,11.9299241796851,12.5488545959387,12.0208407314998,13.1399208556226,15.762736566653,15.3426466350228,15.3152804316404,16.3618099805217,17.7571596028229,19.3456532936714,20.7902076618301,21.6780653046469,24.4836017437138,22.5392250140732,25.7329052243846,29.475887298584,32.3948569326334,33.0246550356372,33.4217802011761,34.1662413875974,36.0388086573497,37.458251953125,38.8773498535156,38.3893852233887,37.4388656616211,38.7630996704102,44.4767585864689,43.3618772475434,43.7670017603446
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.481169191592838,0.497707461545898,0.519273962100451,0.53026560981369,0.539323536565284,0.554306929882707,0.548680689698579,0.551397610211019,0.553446123555788,0.560632656153897,0.705779895447846,0.711500899378481,0.723309998340593,0.731844152641078,0.734362308971804,0.736218215388041,0.738884638465542,0.742495774227149,0.745028111262927,0.741439506718189,0.735279068198795,0.721833616098991,0.709874590850017,0.701125997359204,0.688545090487146,0.686720483377215,0.682621757503082,0.678233981132507,0.656328009600346,0.64122788740431,0.627878780205223,0.604573547840118,0.588248185019342,0.603563370465281,0.607839175148891
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08190935683737E-08,2.15907128494086E-08,1.21700483533935E-07,1.20996724824153E-06,2.69628887583821E-05,0.000508507301031656,0.0244715448313371,0.0470195463403789,0.0647978921329068,0.420102006435402,2.12800471698451,4.29448448986958,10.2538444948909,19.5683844415809,25.4172731426443,34.5360038397542,39.1361372202541,40.0754934609502,46.9563993649614,40.0083569691288,50.8609663921628,64.6057510375977,66.0171856203882,66.6955727425879,66.0018757612622,69.5859035283092,82.8633266447229,95.8372421264648,111.44181060791,124.439605712891,146.909133911133,174.090515136719,191.953511830036,218.506583100621,265.840925124981
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.57702103901031,1.57282884755547,1.58285720031902,1.58201429329521,1.60452126383669,1.61947374032206,1.64459919170919,1.65762633971239,1.68314595846501,1.69303721545324,1.6809571036499,1.6778679427023,1.6732493459538,1.63298862457701,1.62757486407299,1.65192555189757,1.62041763091012,1.64660800404088,1.69202968918804,1.70031782841917,1.70690523265345,1.69137668609619,1.83504087686813,1.86755989889067,1.93511005167144,2.06855869734309,2.09674444871081,2.13833737373352,2.01181793212891,1.92162227630615,1.85506355762482,1.81939482688904,1.81346421048771,1.83645756943168,1.90391952523762
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.293939470110215,0.683806375949621,0.776023252812357,0.731059830393017,0.736171486524754,0.743875471066843,0.730119100894244,0.714412313957507,0.694425180472247,0.672159933949251,0.664089244713395,0.642348668915945,0.825786930673051,0.894793043859227,1.03137254896541,1.10319436905862,1.21724697690634,1.36219731623736,1.64611838124372,1.88761027800908,2.25500157952188,2.73312783241272,3.22003163590423,3.94556760852856,5.46151378584004,6.88258971224653,9.32211732577767,10.2927856445313,13.5268135070801,20.3836688995361,26.8871841430664,38.783332824707,61.179647064951,139.807324662747,419.901039679183
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00513118142378908,0.00890352600925814,0.058220667290399,0.848065211533612,34.9346951917568,89.3631516437746,104.949595065377,121.468783512258,132.969717648484,131.184866206646,126.516955221327,128.714762239282,129.733038300282,133.071580685215,137.723110033406,137.820994841374,139.872156672913,142.008340435082,147.668868137863,150.428718173469,160.168589747522,163.650009155273,157.763327428082,159.440560466033,164.557666539169,172.04720077425,160.208207872256,154.786590576172,157.376907348633,147.486145019531,141.940551757813,148.241226196289,149.426272929493,148.707811233216,147.231105454721
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.923371170629871,0.943316000192529,0.957551495004553,0.984958026809376,1.02500603223764,1.03784812793658,1.05240950655034,1.07289179614285,1.13091703346446,1.13955892558185,1.12586291239167,1.16305010241529,1.19604132896429,1.20864669228633,1.21006876394409,1.23273705484475,1.23752658217184,1.26713820674172,1.29617578207541,1.31017240007378,1.27860494942333,1.30294060707092,1.31876661849032,1.28702435899103,1.3117209860102,1.36631378592424,1.36001458924542,1.35663664340973,1.37060558795929,1.42321181297302,1.4119086265564,1.36395359039307,1.32778985287136,1.37278476022879,1.39592218185229
