Year,Population,Basis,Source,Notes
2024,11424031,scenario,"Statistics Portugal, Estimates of resident population in Portugal 2025, 22 June 2026","Uses the 2025 resident-population estimate as a provisional denominator for the latest World Bank 2024 GDP/PPP year until a revised 2024-compatible denominator is added."
2025,11424031,official_estimate,"Statistics Portugal, Estimates of resident population in Portugal 2025, 22 June 2026","Resident population estimate reported as 11,424,031."
