"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760.24950024614","2476.60309205127","1491.61267174295","1440.39367766113","1591.47883514103","1766.91014761234","1921.54998904796","2039.78832278035","2239.42758318044","2376.51916946578","2530.74394657194","2844.36266367009","3282.11706337369","3836.22556768673","4377.22759682551","5172.2189210295","6072.75924479855","7136.75405519953","7827.31666746494","6811.69247959581","7095.21267979009","7624.26772626905","8942.63537897164","9454.87852836557","9736.2349746279","9756.84084836026","10570.2720413936","12066.0043093819","12877.4937543553","14975.7539538157","14706.3173043422","15921.705281964","19161.3700514189","21534.030536117","22823.1795255693",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12996.0453528789","13658.4986142765","13908.4512651294","14719.5095217977","15736.1681149521","15062.3522451447","16016.9331941163","16836.0619448521","17496.1487515533","18088.3822356782","19318.8965779721","18568.679914651","18812.7827770729","20127.345572169","21628.6836541675","23484.8001051691","26949.4085821346","29850.5675734636","29978.2095861092","26156.9151715965","24071.0297956482","23804.0790107696","23011.7386611366","21760.5232864254","21671.4737856616","20985.4388292177","21320.4375067809","21422.0021576627","24524.2137953887","26550.589844733","22370.0918693813","25745.4958067746","29933.8893698902","31601.7527146877","33386.1917127894",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17404.3313507584","17859.964731506","18279.6291628579","19243.0831397567","20199.7041029274","21070.6164553396","22166.4182243807","23161.0223466445","24420.1555045637","25530.8859233341","26588.486543285","27699.042036111","29080.0439286946","30171.9271819424","31814.5982278822","33089.7023501837","34906.8163097704","36722.267508963","37616.0112400482","40442.5896325192","39500.6303475706","42152.816179831","43007.2697824131","46123.4750962848","47108.5906459966","46452.3565772574","47446.2103030951","48564.8286592372","50371.233830782","52885.8313816377","54184.1614486854","58327.4146842325","66046.5986269043","70755.4123646736","71410.4198745406",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19382.9664747914","20522.1855149093","21194.7573972524","21632.3186748084","22538.0742657382","23588.4562990757","24417.66429689","25294.723885165","26529.1815683188","27500.084954534","29214.7386484813","29556.403560049","30952.1708232398","31962.9255331065","33523.0204968283","34776.6699535218","37396.0350960866","39193.8173640977","41046.7900352112","40665.5046605019","41740.1149241758","44171.5618687028","46156.4832073037","47519.8522796571","48355.4977624407","49562.5939257986","52397.8635176674","53869.8321183556","56636.4953030542","60354.9279422121","58523.0337816246","62968.9422311892","70734.9425647902","70478.7873635411","71621.8033644832",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5342.57081575693","5412.09760190727","4220.14637291832","3272.23795027702","2647.76538426156","2356.89780147658","2406.7723161914","2565.40828177036","2826.70693433931","3051.94233354906","3439.14442872326","3834.89815906415","4230.40590214072","4718.42112339403","5247.53834365156","6854.93618778844","9398.01324794263","11973.9596323536","13216.8434974432","14245.503536619","14930.4099928423","14804.5744507911","15994.1466501837","17267.5118919538","17563.6122454385","15075.2726347911","14535.8020210633","14315.9296431061","15282.9995232298","16675.3179361558","15163.5703327282","20111.3756952109","22552.0886560523","23651.5994852756","25088.9993757134",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","598.305045994166","636.146440172434","639.876865850147","633.81242046807","618.519709020626","547.689757596573","512.745181432347","513.333205390103","533.471289523892","522.875578671651","519.237306665577","528.435573413436","544.922790017055","531.812612194556","551.562209243605","553.047973759863","579.707804423789","593.560734529723","609.042906461819","604.588154080249","613.695880049889","628.665448296178","637.247080191101","687.370968311715","724.371954183273","722.032898379933","764.282221636916","791.393494929898","823.013102241659","868.423731660834","958.135599490084","1035.53857384938","1104.77718764878","1149.98405842389","1194.94681370387",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18675.3121947985","19587.8553500426","20258.5474461442","20459.1891478373","21504.01177389","22431.459360451","22736.7580685985","23727.8975208193","24368.7574088239","25440.8411888638","27788.0908832256","28796.5795804462","30282.2886450283","30934.5826454577","32063.9826949865","33177.8909458158","35258.985063203","36799.5318686343","37883.3319417819","37885.9059125602","39844.4054386496","41244.8495035213","42483.5250666788","43864.1204196838","45147.6429534057","46084.2424551717","48414.5518065681","50256.0631772784","52466.7330784599","56712.469571978","56120.0958420466","60669.2137746531","68157.8347860761","69103.0102591812","72236.9050549712",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186.11606902616","1239.22499734744","1265.25241875078","1311.34449338815","1316.24432539105","1395.26644444059","1443.96771280369","1507.92415400422","1537.14382552758","1592.13782139447","1671.35725172854","1745.98256227696","1799.88269639499","1841.60297283874","1915.34644346381","1945.56414052296","2020.60567734722","2135.53787873721","2215.35163859542","2213.32895620809","2220.32854611489","2264.84186926384","2346.08416204547","2511.65309588333","2670.41561399187","2725.33724817144","2842.0246258376","2885.89383987721","2965.30628143664","3148.97969597838","3244.58772756805","3464.2886286745","3844.15415745816","4129.9661200142","4434.5642184028",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566.944147291823","623.26800170847","623.38499529255","644.03546436099","649.842407598738","683.639151581195","753.30916674031","793.970841435486","838.079355290011","886.434090650903","896.477481510815","947.919374676953","973.983933383218","1037.83799374653","1079.00009142751","1171.76432319587","1244.00243844319","1290.49951017424","1351.36041569133","1359.69224907302","1449.42216382921","1531.34338243982","1571.83884477315","1642.89213125776","1661.31773793757","1691.57935387408","1881.75893134407","2042.40295259917","2073.3235382155","2232.16282016585","2380.72282781802","2486.43093147762","2645.24067996611","2759.30205484605","2895.89152033665",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940.65447083893","987.313199448192","1044.89188613062","1099.38588803798","1145.110166087","1206.36646705186","1260.7548952152","1315.46923329136","1372.95383934707","1429.9864525185","1511.90500588844","1597.58740614435","1658.80230934569","1746.12725782298","1861.51256285455","2019.73839563431","2195.29485460994","2388.10025160357","2554.85788238719","2675.25945926785","2833.69544368864","3051.26983271811","3434.27815090447","3691.10431102117","3972.50647733491","4212.23578089428","4579.13228682862","4882.60692615639","5490.15881865179","6047.12401504125","6640.58437331062","7441.06913961254","8450.54902533941","9147.7775066555","9646.76984383255",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7543.00980587743","7210.58592994386","6912.40494716127","7027.33938797248","7332.73143910964","7737.75681736123","6846.44288284004","5749.3646083913","6177.63560513813","5807.81319081372","6422.7893292648","6961.03996834328","7786.42174530197","8417.47073315879","9201.73973840534","10291.4458776203","11408.0495155875","12822.3130489488","14346.8758795014","14180.7280705653","14955.9157788275","15747.4201648316","16327.2877371365","16893.8166887927","17990.8269577441","18901.1716985864","20745.4005041383","22316.9752017217","23997.2137719712","26765.1382137612","27352.0308736744","30959.1971248","35815.2714195186","37435.2763390633","41519.5397897491",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26902.061145816","31657.3640438852","33648.226872634","37869.5046366226","37579.1686459873","38839.4365183712","40105.8476952372","40965.3457278065","42281.2952059673","43560.5377467354","45687.5217405647","46161.5758464288","45091.4894218656","45426.9345932944","46317.0284804025","47268.2721612188","48009.4917421504","49347.494619615","50330.3248622522","48625.6569231596","49254.5770084238","52677.4511190668","56712.5692656153","56310.3117458189","54299.0564613228","48034.2468880503","47428.9018907649","50184.5005767301","51993.1307818652","56599.5214364411","53436.0316999712","54954.6757895532","61677.6538492695","64171.0857359052","66941.2430367989",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19817.3559352245","19296.1239133846","18635.9143047888","18780.8853879847","19440.9244516914","20377.3363160798","21287.3553874746","21606.2453220863","22555.7881905765","24183.5876637041","25421.6229400308","26351.0760257803","27171.3084133541","27030.8969356877","27659.5379539899","29142.9002176758","30401.5076891956","31232.1313724409","30678.6265531484","29196.6178474292","29624.975385096","30073.6769305961","31035.5500568874","30294.4768305201","31726.1740873862","32137.5784729905","32285.2760366069","34282.1710357791","35227.7619063243","36116.0002025353","27204.625909518","31064.6822166194","36791.4010460964","39090.1214737976","41197.9342548477",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042.54531966483","974.925223501355","982.248042332934","1066.76199243495","1269.0276421518","1506.5085305779","2268.08053840007","3040.39537298471","3523.08246563748","3874.34135632972","4147.03813509401","4307.12305022967","4664.6851874423","4917.86402408479","5408.16133572381","5955.8392069065","6870.5065279752","7686.4139346005","8586.77804781181","8693.61839746895","9086.74853515985","9761.51519578686","10121.1556428302","10808.3121499757","11167.8678146845","11848.6322397969","12899.1037676734","13626.9151382659","14858.2829104281","16428.3936618412","16369.9356023621","18286.7225355833","21117.2830770519","22512.4345037356","22955.7616198884",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220.47473044041","5329.79780911608","4917.1211564349","4640.85663758565","4190.32389049471","3845.7068203495","4039.34042566187","4596.48615921538","5061.33499075145","5331.41743570722","5795.65223573862","6238.09862372757","6697.15436193606","7361.72161071026","8482.92020698503","9636.89112385763","10994.5981291041","12320.0240264282","13886.1314072566","14034.1911204499","15339.0999035972","16563.2014078209","18114.7508606708","19014.0529737698","19037.8847440186","18133.5313085883","17832.4778855815","18413.747563367","20025.9815543598","22301.5932411839","24872.3066744528","27611.1801135157","28429.4948821827","30834.1773668111","33010.3307605357",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4467.10939538921","5052.73723386738","5705.79064932343","6074.89478682658","6072.66003740283","6090.87963612643","6087.14883018667","6242.51698431038","6333.37021359852","6790.43061599009","7543.73447178525","7851.62162856677","8153.66392623285","8849.64628939549","9244.91166156485","9466.1427445401","9909.68014440777","10225.986730898","9975.08124355363","9727.98868509362","9747.8256219459","9721.88084559988","9303.37857455225","9525.83089030578","9489.91221371385","9538.38691146009","9399.03567052789","9120.65338346029","9497.23480443418","10499.962073199","9638.89513695889","11716.3267818656","13461.2098451613","13729.892058721","14346.5188049737",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35944.5383502772","35583.9918588002","36109.732857216","37812.9984919051","38603.8538837736","40917.6104146492","42545.1202187236","44995.7854570556","46915.8458365428","48798.9050127885","54176.377748356","59092.8759704678","58862.6907986795","61829.3240116897","64790.2739198061","67771.4683756141","73590.1160702265","77894.0646213844","77556.4350038925","73336.9875151545","72188.6928304585","70911.542318725","69149.0500342682","71519.6398526584","71988.5383627822","75943.4642970922","80412.1834895484","85680.9701917217","85978.2177227009","90984.4576708318","85146.4006275696","92319.6714861219","105142.409967183","114372.049927372","124252.835702586",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2796.6582759069","2980.73517857457","3036.28011808239","3177.29640267852","3331.48694317208","3493.83709216274","3644.90018385362","3821.80736532305","3988.09230594345","3991.49666336341","4113.04245150496","4204.93622748505","4303.83514661302","4432.92085269619","4662.97077714293","4937.86997682486","5244.16021230209","5536.56815653658","5889.94339081976","6024.05947397942","6245.33863197671","6597.96217604867","7183.82602452107","8068.72017230776","8628.94266128598","8757.31777115406","9242.02728323599","10420.3923250933","10758.4075594003","11005.3541169156","9580.98962081658","11202.4409836707","12306.7293128695","12892.1249578777","12877.6351184372",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6687.92294838768","6866.63038059728","6869.41000551049","7259.98885683476","7727.24541738904","8096.91149194686","8300.63414154543","8601.60903057465","8598.80569222596","8634.60784577029","9091.76851349271","9303.64529208666","9616.59485486268","9801.9621245505","10525.7113782454","11081.2474735736","11750.5312437668","12672.5051158078","13445.2454698442","13390.6831313285","14451.7158388109","15211.7920390047","15198.086330971","15722.3335243701","15827.3081625749","14821.4383175183","14309.2061488342","14559.0488897884","15463.7426393743","16069.838015161","16101.6183062954","18075.7060048757","19876.8533531396","21175.6186988214","22338.4765640635",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11687.1661453303","11575.7913022058","11127.2626146416","11447.9245708786","11900.4330678104","12374.8287852829","13090.2347268185","13941.4190805758","14621.2927777722","14873.2313078312","15914.0847570681","15865.5863558585","16133.0792881949","16706.5324853774","17298.8922582212","18449.8108853234","20076.4851303968","20949.3649138456","21375.9007659025","20323.6367022712","20032.5818570838","20316.2925356846","19605.0169248071","19032.4654071373","18594.9001828335","19185.5186407924","19175.570190422","18436.8050803186","19777.0593234662","19971.1185698717","16555.3622145235","17682.7314537483","22193.2487125789","23660.4047512929","24822.5343309908",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70200.7406426618","72609.8061360747","70015.7710253626","69387.2563782978","69778.5771254058","70440.0221115094","70007.6412879003","73980.4112443911","68256.8699921491","70584.609538742","73086.9318257521","74253.881783985","76838.1757652928","79632.1722336263","80403.7579093987","81534.17153993","86114.3370627638","83693.3213747729","80476.7247575811","77957.1442764098","79542.677943168","82735.3914480561","87256.0422369454","83237.1470879654","81225.5485449793","62707.8264437741","56679.5185221407","61657.6802725444","65148.8264035521","69353.6799514849","69787.9632795717","78248.797127611","81801.7459224403","85032.6008741995","89879.3614980758",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1637.87181211026","1656.84173576743","1840.09034775722","2001.13467169641","2145.74566746001","2373.56846713951","2547.83812203065","2682.5947815051","2818.99572527438","3017.48876253666","3113.045439264","3338.49246893448","3662.80907177599","3942.28144580049","4172.78217119849","4523.35970644529","4860.27017151102","5728.91569471022","6035.21741147854","6466.0974491583","7245.77263522404","7935.46760973088","8577.40731901004","8666.91063590069","9323.39448941386","10213.8139608922","11273.2823807676","11677.4142659974","11969.5615003305","12909.1009840399","12475.048003428","13458.812666743","15063.8105763072","16215.1520073153","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6103.61612145385","6598.4433994379","6753.03249131389","6846.70638334809","7048.51653934984","7502.77894238533","7890.35144206262","8496.76665171102","8441.28347040357","9187.6456637049","9380.37607253972","9419.79390743785","9957.74055935149","10438.7580333449","10818.1586503167","11458.2270967968","12562.9649932723","13388.7379138475","13810.355526136","11686.1846639657","12753.3066340117","13635.4267666146","12736.5833891004","13621.1494726695","15003.3197518349","14143.6940733728","16228.1231235664","15700.6650479641","15785.819633781","15960.0156143903","15292.2624673252","17960.6254447437","19976.8343794474","21012.10319925","20538.1320178889",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620.391176505202","618.179517934398","573.150589287487","570.245637847042","592.18543758181","630.691681389742","600.772967864624","626.078453835456","645.129994415361","659.524563046957","639.836997022267","668.445939283473","688.18045108872","648.193215397331","690.426514027755","702.460624591232","743.287480208983","783.355445280928","797.652806166077","877.252131104878","936.485497371468","980.185520951852","1062.06809941049","709.853481245446","698.963738923072","768.870887999174","826.013301383169","883.810734876066","905.817788941094","984.843183678857","1066.29005423151","1128.55237996459","1217.84977141155","1257.09435717114","1263.10234213699",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20229.7558681625","20224.6873311056","20626.2020585898","21440.0469855991","22632.8340863081","23485.6419280395","24050.1750062174","25258.8605604948","26319.6741635104","27841.3533496575","29362.0841609786","30230.8487685762","30963.9218856684","32351.5456968698","33927.6696952532","36328.378994377","38119.3909593545","39575.4770075876","40376.0882836384","38864.0566958538","40098.2537191139","41666.8374590278","42291.9729357094","44301.0562529133","45758.1007297304","44669.4513631838","46470.6466391109","48317.3874457163","49982.5999118346","50498.9731057448","48590.6832121939","56995.1176781351","63578.3201949554","64462.9211694495","65463.0990993361",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7530.53999035415","6975.90340644603","6831.25102633659","7021.94060737485","7438.21240825078","8015.75927259919","8423.70563245392","8724.54125355632","9116.07888441892","9417.53040626632","10035.7412222779","10821.8592077974","11641.2150517796","12342.1724748447","13494.4057883506","14308.0640299505","15918.0506173528","17751.005839583","19673.0116393078","19698.7267828224","20867.2078094069","22364.5489775245","23159.4583880218","23943.7041396392","25048.1693116944","26292.5030961876","27955.5023383934","30076.4817978659","32302.2130180674","35861.5224694248","36454.2530767255","40122.4691635522","44764.1095000414","46468.1388728744","49854.8257191487",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28442.331604763","28773.0139362181","29093.3238541076","29475.7500522008","30245.3759671361","30821.4370522444","31497.7419568964","32728.0114219533","33857.6531675935","34742.6318631555","36695.2070554187","37822.9275072501","38704.9584597242","38737.3079261209","40176.5707415374","41524.8488732932","46275.5494842863","50929.4927044896","53808.7841127066","52971.3732760585","54432.332994981","57493.5810559211","59440.9158607666","61656.4661708516","63417.0438110319","65282.5841931923","67350.7518747757","68193.5055940262","70688.8187491194","73732.2353322093","72997.8239503282","81001.4111206118","91326.1317048182","90498.5751983504","94115.8242622014",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
